/vo X,/vo Y
5.000775100162992e-09,0.0003083392648397256
5.000841562789328e-09,0.0003436702339847599
5.000916120389304e-09,0.000382718813641644
5.001001927605653e-09,0.0004272332635958237
5.00110359961886e-09,0.0004800481874440424
5.001218062396571e-09,0.0005406782919058007
5.001335352050806e-09,0.0006053568641822268
5.001441417961199e-09,0.000667045394355136
5.001567494936295e-09,0.0007455161554429005
5.001714720417901e-09,0.0008456065861674045
5.001851003773412e-09,0.000947345525165586
5.002000879038296e-09,0.001070173726678835
5.002168763305901e-09,0.001222039488030127
5.002382477041187e-09,0.001437656772887471
5.00264232190217e-09,0.001733209769302532
5.002950822717575e-09,0.002130065002477804
5.003337594723645e-09,0.002693759657834134
5.003789781538282e-09,0.003438295699091503
5.004295453640861e-09,0.004368913643493622
5.004862535411134e-09,0.005521059028319437
5.005500613154874e-09,0.006936344695250624
5.006215199368021e-09,0.008648738748165507
5.007008684806953e-09,0.01068231661829975
5.007881639852886e-09,0.01305152619716939
5.008834688761802e-09,0.01576507889233544
5.009870120131422e-09,0.01883108045329483
5.010992709223974e-09,0.02226085007339402
5.012210085033783e-09,0.02607138094614099
5.013532985921585e-09,0.03028704139862018
5.014975653032264e-09,0.03494120845546545
5.016556550418859e-09,0.04007846840842541
5.01829956621259e-09,0.04575788229821151
5.020235898034593e-09,0.05205785533481144
5.022406969125231e-09,0.05908342246154163
5.024869002934539e-09,0.06697734481971368
5.027700430026968e-09,0.07593753602005873
5.031014414484974e-09,0.08624554893536074
5.034981227031705e-09,0.0983154865434301
5.03987102328851e-09,0.112783197494495
5.046143102195403e-09,0.1306818032941821
5.053487960658897e-09,0.1507248756216178
5.061329798508615e-09,0.1710742731943109
5.069919780955158e-09,0.1921825232848568
5.079512107258379e-09,0.2143807972118938
5.086082609057547e-09,0.2287934906510829
5.093524499043962e-09,0.2443906015869317
5.101038619382037e-09,0.2594036718331431
5.10930585534571e-09,0.2751244692564925
5.118269964522351e-09,0.2912926283205521
5.132111174669653e-09,0.314627970203247
5.141926170801284e-09,0.3300616818348412
5.157318973082354e-09,0.3525993857893252
5.1690997602237e-09,0.3685782211974245
5.179889779219422e-09,0.3823241041034703
5.191686717183104e-09,0.3964564792292879
5.203929477630996e-09,0.4102053143159538
5.216613778203466e-09,0.4235348679746119
5.23008123178089e-09,0.4367403397132116
5.244467461603574e-09,0.449843840367633
5.259915678498444e-09,0.4628394097088891
5.27657666259018e-09,0.4756919088958218
5.294412750489401e-09,0.488207323121683
5.313175591312914e-09,0.5000903000224596
5.332588192537519e-09,0.5111149237541355
5.3525016890775e-09,0.5212030693020632
